iter	Passed	Remaining
757	2611	833
758	2618	831
759	2623	828
760	2626	824
761	2631	821
762	2637	819
763	2641	815
764	2644	812
765	2649	809
766	2653	805
767	2655	802
768	2659	798
769	2664	795
770	2667	792
771	2670	788
772	2674	785
773	2680	782
774	2683	779
775	2686	775
776	2690	772
777	2695	769
778	2699	765
779	2702	762
780	2706	758
781	2712	756
782	2715	752
783	2720	749
784	2727	747
785	2732	743
786	2739	741
787	2744	738
788	2748	734
789	2754	732
790	2759	729
791	2762	725
792	2768	722
793	2771	719
794	2774	715
795	2777	711
796	2783	709
797	2787	705
798	2790	702
799	2794	698
800	2800	695
801	2803	692
802	2806	688
803	2810	685
804	2814	681
805	2817	678
806	2820	674
807	2823	671
808	2827	667
809	2829	663
810	2833	660
811	2836	656
812	2839	653
813	2843	649
814	2846	646
815	2849	642
816	2853	639
817	2855	635
818	2859	631
819	2862	628
820	2864	624
821	2868	621
822	2872	617
823	2876	614
824	2879	610
825	2884	607
826	2887	604
827	2891	600
828	2895	597
829	2898	593
830	2901	590
831	2905	586
832	2909	583
833	2913	579
834	2916	576
835	2920	572
836	2923	569
837	2928	566
838	2931	562
839	2934	558
840	2936	555
841	2940	551
842	2943	548
843	2947	544
844	2950	541
845	2953	537
846	2958	534
847	2961	530
848	2964	527
849	2967	523
850	2970	520
851	2974	516
852	2977	513
853	2980	509
854	2983	506
855	2986	502
856	2989	498
857	2992	495
858	2995	491
859	2998	488
860	3002	484
861	3006	481
862	3010	477
863	3013	474
864	3017	470
865	3021	467
866	3025	464
867	3028	460
868	3035	457
869	3038	454
870	3042	450
871	3046	447
872	3050	443
873	3053	440
874	3057	436
875	3061	433
876	3065	429
877	3068	426
878	3072	422
879	3076	419
880	3080	416
881	3083	412
882	3087	409
883	3091	405
884	3095	402
885	3099	398
886	3103	395
887	3106	391
888	3110	388
889	3112	384
890	3117	381
891	3122	378
892	3126	374
893	3129	371
894	3133	367
895	3138	364
896	3145	361
897	3150	357
898	3153	354
899	3157	350
900	3159	347
901	3163	343
902	3167	340
903	3171	336
904	3174	333
905	3176	329
906	3181	326
907	3184	322
908	3187	319
909	3190	315
910	3193	311
911	3195	308
912	3199	304
913	3201	301
914	3204	297
915	3208	294
916	3211	290
917	3214	287
918	3217	283
919	3219	279
920	3222	276
921	3225	272
922	3229	269
923	3232	265
924	3235	262
925	3239	258
926	3243	255
927	3246	251
928	3250	248
929	3254	244
930	3256	241
931	3260	237
932	3262	234
933	3265	230
934	3268	227
935	3271	223
936	3273	220
937	3276	216
938	3279	213
939	3283	209
940	3286	206
941	3289	202
942	3293	199
943	3297	195
944	3301	192
945	3304	188
946	3306	185
947	3309	181
948	3313	178
949	3315	174
950	3318	170
951	3321	167
952	3324	163
953	3327	160
954	3331	156
955	3333	153
956	3336	149
957	3339	146
958	3341	142
959	3344	139
960	3347	135
961	3350	132
962	3353	128
963	3356	125
964	3359	121
965	3361	118
966	3365	114
967	3367	111
968	3370	107
969	3373	104
970	3376	100
971	3379	97
972	3382	93
973	3385	90
974	3387	86
975	3390	83
976	3394	79
977	3397	76
978	3400	72
979	3402	69
980	3405	65
981	3408	62
982	3411	58
983	3413	55
984	3416	52
985	3419	48
986	3421	45
987	3424	41
988	3427	38
989	3430	34
990	3432	31
991	3436	27
992	3438	24
993	3441	20
994	3444	17
995	3447	13
996	3450	10
997	3453	6
998	3456	3
999	3459	0
